0001, LowR=0, MediumR=0.5, HighR=0.5, Centroide=62.0
0002, LowR=0.5, MediumR=0.7, HighR=0.5, Centroide=50.553
0003, LowR=0, MediumR=0.7, HighR=1.0, Centroide=65.404
0004, LowR=0, MediumR=0.9333333333333333, HighR=0, Centroide=52.121
0005, LowR=0, MediumR=0.1, HighR=0.3, Centroide=71.623
0006, LowR=0, MediumR=0.4, HighR=1.0, Centroide=70.302
0007, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0008, LowR=0, MediumR=1.0, HighR=0.3, Centroide=54.853
0009, LowR=0, MediumR=0.7666666666666667, HighR=0, Centroide=52.121
0010, LowR=0, MediumR=0.3333333333333333, HighR=0.3333333333333333, Centroide=62.0
0011, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0012, LowR=0.5, MediumR=0.5, HighR=0, Centroide=40.278
0013, LowR=0, MediumR=0.7, HighR=1.0, Centroide=65.404
0014, LowR=0, MediumR=0.8, HighR=1.0, Centroide=64.118
0015, LowR=0, MediumR=0.5, HighR=0.5, Centroide=62.0
0016, LowR=0, MediumR=1.0, HighR=0.06666666666666667, Centroide=52.664
0017, LowR=0, MediumR=1.0, HighR=0.3, Centroide=54.853
0018, LowR=0, MediumR=0.6, HighR=0, Centroide=52.121
0019, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0020, LowR=0.5, MediumR=0.5, HighR=0.3, Centroide=45.842
0021, LowR=0, MediumR=0.7666666666666667, HighR=1.0, Centroide=64.529
0022, LowR=1.0, MediumR=1.0, HighR=0.3333333333333333, Centroide=43.097
0023, LowR=0.275, MediumR=0.9666666666666667, HighR=0, Centroide=49.044
0024, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0025, LowR=1.0, MediumR=1.0, HighR=0, Centroide=40.278
0026, LowR=0, MediumR=0.9, HighR=0.06666666666666667, Centroide=52.727
0027, LowR=0, MediumR=0.3, HighR=1.0, Centroide=72.317
0028, LowR=0, MediumR=0.9666666666666667, HighR=0.9666666666666667, Centroide=62.0
0029, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0030, LowR=0, MediumR=0.8, HighR=1.0, Centroide=64.118
0031, LowR=0.05, MediumR=1.0, HighR=0, Centroide=51.669
0032, LowR=0, MediumR=0.3333333333333333, HighR=0.3333333333333333, Centroide=62.0
0033, LowR=0.25, MediumR=1.0, HighR=0, Centroide=49.47
0034, LowR=0, MediumR=0.5, HighR=1.0, Centroide=68.485
0035, LowR=0, MediumR=0.9, HighR=0.9, Centroide=62.0
0036, LowR=0, MediumR=0.875, HighR=1.0, Centroide=63.257
0037, LowR=0, MediumR=0.9, HighR=0, Centroide=52.121
0038, LowR=0, MediumR=0.7, HighR=0.8666666666666667, Centroide=64.026
0039, LowR=0, MediumR=0.8, HighR=1.0, Centroide=64.118
0040, LowR=0.2, MediumR=0.7, HighR=0, Centroide=49.029
0041, LowR=0.5, MediumR=0.5, HighR=0.06666666666666667, Centroide=41.293
0042, LowR=0, MediumR=1.0, HighR=0.3, Centroide=54.853
0043, LowR=0.5, MediumR=1.0, HighR=0, Centroide=46.242
0044, LowR=0, MediumR=0.9333333333333333, HighR=0.9333333333333333, Centroide=62.0
0045, LowR=0.1, MediumR=1.0, HighR=0.3333333333333333, Centroide=54.254
0046, LowR=0.425, MediumR=0.7666666666666667, HighR=0, Centroide=45.524
0047, LowR=0, MediumR=1.0, HighR=1.0, Centroide=62.0
0048, LowR=0.425, MediumR=0.7666666666666667, HighR=0.5, Centroide=52.022
0049, LowR=0.325, MediumR=1.0, HighR=0.9, Centroide=57.703
0050, LowR=0, MediumR=0.23333333333333334, HighR=0.23333333333333334, Centroide=62.0
